Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2010-02-22 00:00:00-05:00,28109.5,28109.5,27610.5,27776.80078125,469763,0.0,0.0,0.0
2010-02-23 00:00:00-05:00,27111.5,27277.80078125,26612.5,26778.80078125,388448,0.0,0.0,0.0
2010-02-24 00:00:00-05:00,26612.5,26945.19921875,26612.5,26778.80078125,564305,0.0,0.0,0.0
2010-02-25 00:00:00-05:00,26778.80078125,27111.5,26446.19921875,26778.80078125,807469,0.0,0.0,0.0
2010-02-26 00:00:00-05:00,26612.5,26612.5,25947.19921875,25947.19921875,2059963,0.0,0.0,0.0
2010-03-01 00:00:00-05:00,26778.80078125,26778.80078125,26612.5,26612.5,208473,0.0,0.0,0.0
2010-03-02 00:00:00-05:00,26612.5,26612.5,26446.19921875,26612.5,583935,0.0,0.0,0.0
2010-03-03 00:00:00-05:00,26945.19921875,26945.19921875,26778.80078125,26945.19921875,626983,0.0,0.0,0.0
2010-03-04 00:00:00-05:00,27277.80078125,27444.19921875,26945.19921875,27444.19921875,929277,0.0,0.0,0.0
2010-03-05 00:00:00-05:00,27444.19921875,27610.5,27277.80078125,27277.80078125,831819,0.0,0.0,0.0
2010-03-08 00:00:00-05:00,27277.80078125,27610.5,27277.80078125,27444.19921875,875648,0.0,0.0,0.0
2010-03-09 00:00:00-05:00,27610.5,27943.099609375,27610.5,27943.099609375,1335251,0.0,0.0,0.0
2010-03-10 00:00:00-05:00,28442.099609375,29273.80078125,28109.5,29273.80078125,3586493,0.0,0.0,0.0
2010-03-11 00:00:00-05:00,29772.80078125,29939.099609375,29273.80078125,29606.400390625,725703,0.0,0.0,0.0
2010-03-12 00:00:00-05:00,29772.80078125,29772.80078125,29273.80078125,29606.400390625,1013658,0.0,0.0,0.0
2010-03-15 00:00:00-04:00,29606.400390625,29606.400390625,28941.099609375,29273.80078125,716655,0.0,0.0,0.0
2010-03-16 00:00:00-04:00,28608.5,28774.80078125,27943.099609375,27943.099609375,1930820,0.0,0.0,0.0
2010-03-17 00:00:00-04:00,28442.099609375,28608.5,27943.099609375,28109.5,1029590,0.0,0.0,0.0
2010-03-18 00:00:00-04:00,28109.5,28774.80078125,28109.5,28774.80078125,287383,0.0,0.0,0.0
2010-03-19 00:00:00-04:00,28941.099609375,28941.099609375,28442.099609375,28608.5,583454,0.0,0.0,0.0
2010-03-22 00:00:00-04:00,28442.099609375,28442.099609375,27943.099609375,27943.099609375,429903,0.0,0.0,0.0
2010-03-23 00:00:00-04:00,27943.099609375,28275.80078125,27444.19921875,27610.5,385773,0.0,0.0,0.0
2010-03-24 00:00:00-04:00,28109.5,28442.099609375,27943.099609375,28275.80078125,728318,0.0,0.0,0.0
2010-03-25 00:00:00-04:00,28275.80078125,28275.80078125,27610.5,27776.80078125,739501,0.0,0.0,0.0
