Date,Open,High,Low,Close,Volume
2010-01-20 00:00:00+07:00,37904.92578125,37904.92578125,37904.92578125,37904.92578125,0
2010-01-21 00:00:00+07:00,38569.9258294754,38569.9258294754,37572.425757137295,37904.92578125,629806
2010-01-22 00:00:00+07:00,37239.9295814045,37904.92578125,37239.9295814045,37904.92578125,56857
2010-01-25 00:00:00+07:00,36574.92577116249,37572.421892520426,36242.42578125,36242.42578125,99110
2010-01-26 00:00:00+07:00,37239.9295814045,37904.92578125,37239.9295814045,37904.92578125,198515
2010-01-27 00:00:00+07:00,37904.92188243291,37904.92188243291,36242.42578125,36242.42578125,85479
2010-01-28 00:00:00+07:00,36242.42578904026,36242.42578904026,34579.9296875,34579.9296875,90902
2010-01-29 00:00:00+07:00,34247.42969015461,36242.42578125,34247.42969015461,36242.42578125,313835
2010-02-01 00:00:00+07:00,37572.425757137295,37904.92578125,37239.9295814045,37904.92578125,326723
2010-02-02 00:00:00+07:00,37904.92571076672,38902.42578125,37904.92571076672,38902.42578125,228649
2010-02-03 00:00:00+07:00,38902.42578125,38902.42578125,38237.425734261145,38902.42578125,77923
2010-02-04 00:00:00+07:00,38902.42578125,38902.42578125,38569.925757755576,38902.42578125,173715
2010-02-05 00:00:00+07:00,38569.9258294754,38902.42585358811,37904.92578125,37904.92578125,243435
2010-02-08 00:00:00+07:00,37572.421875,38237.42185451487,37572.421875,37572.421875,116887
2010-02-09 00:00:00+07:00,37572.421875,37904.92186475744,36907.42574386464,37572.421875,153123
2010-02-10 00:00:00+07:00,37904.92573385607,38569.92578125,35909.92944005418,38569.92578125,205479
2010-02-11 00:00:00+07:00,38237.425757553036,38569.92578125,38237.425757553036,38569.92578125,82665
2010-02-12 00:00:00+07:00,38237.425734261145,38902.42578125,38237.425734261145,38902.42578125,67465
2010-02-22 00:00:00+07:00,39567.421979858955,39567.421979858955,38569.925757755576,38902.42578125,275079
2010-02-23 00:00:00+07:00,38237.425805362705,38237.425805362705,37904.92578125,37904.92578125,97657
2010-02-24 00:00:00+07:00,37904.92568806871,39567.421956165424,37904.92568806871,39234.92578125,612918
2010-02-25 00:00:00+07:00,40232.42183124427,40897.421875,39567.421787488536,40897.421875,807259
2010-02-26 00:00:00+07:00,41562.41788710327,42892.41796875,41562.41788710327,42892.41796875,912711
2010-03-01 00:00:00+07:00,43557.4141611935,43889.91418160518,42892.41796875,42892.41796875,333035
2010-03-02 00:00:00+07:00,42892.41798932115,43224.918009892295,42559.91796875,42559.91796875,262369
2010-03-03 00:00:00+07:00,42892.417948495335,43557.41414062481,42559.91792824066,43224.91796875,418279
2010-03-04 00:00:00+07:00,43557.41414062481,43557.41414062481,42559.91792824066,43224.91796875,345451
2010-03-05 00:00:00+07:00,43224.917871861115,43889.9140625,43224.917871861115,43889.9140625,325479
2010-03-08 00:00:00+07:00,43557.4141611935,43889.91418160518,42892.41796875,42892.41796875,270369
2010-03-09 00:00:00+07:00,43557.41414062481,43557.41414062481,43224.91796875,43224.91796875,75287
2010-03-10 00:00:00+07:00,43557.41414062481,43557.41414062481,43224.91796875,43224.91796875,109598
2010-03-11 00:00:00+07:00,43224.91796875,43557.41414062481,43224.91796875,43224.91796875,95849
2010-03-12 00:00:00+07:00,43224.91785279181,44554.914081862684,43224.91785279181,44222.4140625,292146
2010-03-15 00:00:00+07:00,44554.914081862684,44887.41410122537,44222.4140625,44222.4140625,217271
2010-03-16 00:00:00+07:00,43889.9140821583,43889.9140821583,42892.417871563266,43557.4140625,81065
2010-03-17 00:00:00+07:00,43889.91418160518,43889.91418160518,42892.41796875,42892.41796875,146338
2010-03-18 00:00:00+07:00,41894.91781258838,43557.4140625,41894.91781258838,43557.4140625,70961
2010-03-19 00:00:00+07:00,43557.4141611935,43557.4141611935,42892.41796875,42892.41796875,73331
2010-03-22 00:00:00+07:00,42892.417948495335,43557.41414062481,42892.417948495335,43224.91796875,119910
2010-03-23 00:00:00+07:00,43224.91798916168,43224.91798916168,42892.41796875,42892.41796875,186131
2010-03-24 00:00:00+07:00,43224.917891221565,43557.4140625,42892.417871563266,43557.4140625,99643
2010-03-25 00:00:00+07:00,42892.41796875,43224.91798916168,42559.91794833832,42892.41796875,262813
2010-03-26 00:00:00+07:00,43224.917891221565,43557.4140625,43224.917891221565,43557.4140625,166131
