Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-12-13 00:00:00+07:00,26151.6640625,26151.6640625,26151.6640625,26151.6640625,1212095,0.0,0.0
2006-12-14 00:00:00+07:00,27459.244140625,27459.244140625,27459.244140625,27459.244140625,4073421,0.0,0.0
2006-12-15 00:00:00+07:00,28832.208984375,28832.208984375,28832.208984375,28832.208984375,3849793,0.0,0.0
2006-12-18 00:00:00+07:00,30270.55078125,30270.55078125,30270.55078125,30270.55078125,3131348,0.0,0.0
2006-12-19 00:00:00+07:00,31774.267578125,31774.267578125,31774.267578125,31774.267578125,1995554,0.0,0.0
2006-12-20 00:00:00+07:00,33343.37109375,33343.37109375,33343.37109375,33343.37109375,3194181,0.0,0.0
2006-12-21 00:00:00+07:00,32754.954613534912,31708.890625,31708.890625,31708.890625,2269523,0.0,0.0
2006-12-22 00:00:00+07:00,30139.791015625,30139.791015625,30139.791015625,30139.791015625,2082341,0.0,0.0
2006-12-25 00:00:00+07:00,28636.0703125,28636.0703125,28636.0703125,28636.0703125,321255,0.0,0.0
2006-12-26 00:00:00+07:00,27263.107706001138,30009.03125,30009.03125,30009.03125,4355509,0.0,0.0
2006-12-27 00:00:00+07:00,31381.99609375,31381.99609375,31381.99609375,31381.99609375,5996434,0.0,0.0
2006-12-28 00:00:00+07:00,30728.20419963208,31381.99609375,31381.99609375,31381.99609375,2101781,0.0,0.0
2006-12-29 00:00:00+07:00,30401.308980796413,30074.412109375,30074.412109375,30074.412109375,1012276,0.0,0.0
2007-01-02 00:00:00+07:00,29420.621965603328,28766.830078125,28766.830078125,28766.830078125,1177839,0.0,0.0
2007-01-03 00:00:00+07:00,28766.8292256462,29420.62109375,29420.62109375,29420.62109375,1083381,0.0,0.0
2007-01-04 00:00:00+07:00,30858.962890625,30858.962890625,30858.962890625,30858.962890625,2155035,0.0,0.0
2007-01-05 00:00:00+07:00,32362.68359375,32362.68359375,32362.68359375,32362.68359375,5482307,0.0,0.0
2007-01-08 00:00:00+07:00,33343.370937386215,32035.787109375,32035.787109375,32035.787109375,5100225,0.0,0.0
2007-01-09 00:00:00+07:00,32362.68399287224,32035.787109375,32035.787109375,32035.787109375,3268907,0.0,0.0
2007-01-10 00:00:00+07:00,32035.78671428432,32362.68359375,32362.68359375,32362.68359375,4560119,0.0,0.0
2007-01-11 00:00:00+07:00,32689.583984375,32689.583984375,32689.583984375,32689.583984375,4120000,0.0,0.0
2007-01-12 00:00:00+07:00,34324.0546875,34324.0546875,34324.0546875,34324.0546875,4058904,0.0,0.0
2007-01-15 00:00:00+07:00,34977.8500137739,36023.9140625,36023.9140625,36023.9140625,3980253,0.0,0.0
2007-01-16 00:00:00+07:00,37789.15234375,37789.15234375,37789.15234375,37789.15234375,4930301,0.0,0.0
2007-01-17 00:00:00+07:00,39162.11170797924,35958.53515625,35958.53515625,35958.53515625,2116728,0.0,0.0
2007-01-18 00:00:00+07:00,34193.29827125177,36023.9140625,36023.9140625,36023.9140625,4098379,0.0,0.0
2007-01-19 00:00:00+07:00,37789.15234375,37789.15234375,37789.15234375,37789.15234375,1382750,0.0,0.0
2007-01-22 00:00:00+07:00,39619.76618288067,39227.4921875,39227.4921875,39227.4921875,6698785,0.0,0.0
2007-01-23 00:00:00+07:00,39227.49200215759,39358.25,39358.25,39358.25,3540567,0.0,0.0
2007-01-24 00:00:00+07:00,39358.24785381174,37919.90625,37919.90625,37919.90625,2269817,0.0,0.0
2007-01-25 00:00:00+07:00,37919.90625,37919.90625,37919.90625,37919.90625,2066660,0.0,0.0
2007-01-26 00:00:00+07:00,37266.116296438806,37919.90625,37919.90625,37919.90625,1875403,0.0,0.0
2007-01-29 00:00:00+07:00,38246.80688191263,39554.390625,39554.390625,39554.390625,2921221,0.0,0.0
2007-01-30 00:00:00+07:00,41188.87109375,41188.87109375,41188.87109375,41188.87109375,4707707,0.0,0.0
2007-01-31 00:00:00+07:00,41711.89966057969,42169.55078125,42169.55078125,42169.55078125,4503240,0.0,0.0
2007-02-01 00:00:00+07:00,42300.313055051294,40535.078125,40535.078125,40535.078125,1667454,0.0,0.0
2007-02-02 00:00:00+07:00,41188.87109375,41188.87109375,41188.87109375,41188.87109375,1153175,0.0,0.0
2007-02-05 00:00:00+07:00,40535.07789227107,39162.11328125,39162.11328125,39162.11328125,1602593,0.0,0.0
2007-02-06 00:00:00+07:00,38573.70950320435,40861.98046875,40861.98046875,40861.98046875,2837496,0.0,0.0
2007-02-07 00:00:00+07:00,39619.77268352371,41515.76953125,41515.76953125,41515.76953125,1690090,0.0,0.0
2007-02-08 00:00:00+07:00,39489.01171875,39489.01171875,39489.01171875,39489.01171875,1507401,0.0,0.0
2007-02-09 00:00:00+07:00,37527.63671875,37527.63671875,37527.63671875,37527.63671875,2820662,0.0,0.0
2007-02-12 00:00:00+07:00,39358.25,39358.25,39358.25,39358.25,877760,0.0,0.0
2007-02-13 00:00:00+07:00,41319.62910879231,41188.87109375,41188.87109375,41188.87109375,2330473,0.0,0.0
2007-02-14 00:00:00+07:00,40535.08287360995,39881.2890625,39881.2890625,39881.2890625,1158109,0.0,0.0
2007-02-15 00:00:00+07:00,39881.2890625,39881.2890625,39881.2890625,39881.2890625,866588,0.0,0.0
2007-02-26 00:00:00+07:00,41842.6640625,41842.6640625,41842.6640625,41842.6640625,3356561,0.0,0.0
2007-02-27 00:00:00+07:00,43934.79551704794,43477.140625,43477.140625,43477.140625,4203580,0.0,0.0
2007-02-28 00:00:00+07:00,43477.141702839006,41319.62890625,41319.62890625,41319.62890625,1009370,0.0,0.0
2007-03-01 00:00:00+07:00,41188.87054652711,40208.18359375,40208.18359375,40208.18359375,1434409,0.0,0.0
2007-03-02 00:00:00+07:00,40992.72884898428,42169.55078125,42169.55078125,42169.55078125,2371391,0.0,0.0
2007-03-05 00:00:00+07:00,42169.559630822194,41515.76953125,41515.76953125,41515.76953125,1816337,0.0,0.0
2007-03-06 00:00:00+07:00,39554.39257682047,39489.01171875,39489.01171875,39489.01171875,2914984,0.0,0.0
2007-03-07 00:00:00+07:00,40861.97977916493,39881.2890625,39881.2890625,39881.2890625,638169,0.0,0.0
2007-03-08 00:00:00+07:00,39554.38903663922,39227.4921875,39227.4921875,39227.4921875,1239083,0.0,0.0
2007-03-09 00:00:00+07:00,40535.07587807955,39227.4921875,39227.4921875,39227.4921875,813327,0.0,0.0
2007-03-12 00:00:00+07:00,39881.2890625,39881.2890625,39881.2890625,39881.2890625,1266943,0.0,0.0
2007-03-13 00:00:00+07:00,40012.05078950437,39881.2890625,39881.2890625,39881.2890625,1082803,0.0,0.0
2007-03-14 00:00:00+07:00,39554.38669286866,37919.90625,37919.90625,37919.90625,833643,0.0,0.0
2007-03-15 00:00:00+07:00,36023.9140625,36023.9140625,36023.9140625,36023.9140625,1488684,0.0,0.0
2007-03-16 00:00:00+07:00,36023.91371937227,37789.15234375,37789.15234375,37789.15234375,1481570,0.0,0.0
2007-03-19 00:00:00+07:00,39227.49410302574,37789.15234375,37789.15234375,37789.15234375,1534244,0.0,0.0
2007-03-20 00:00:00+07:00,37266.121681912016,36743.0859375,36743.0859375,36743.0859375,1457339,0.0,0.0
2007-03-21 00:00:00+07:00,34912.46680462254,34977.84765625,34977.84765625,34977.84765625,1653375,0.0,0.0
2007-03-22 00:00:00+07:00,35304.7467001321,36285.43359375,36285.43359375,36285.43359375,2029079,0.0,0.0
2007-03-23 00:00:00+07:00,36285.43359375,36285.43359375,36285.43359375,36285.43359375,1734499,0.0,0.0
2007-03-26 00:00:00+07:00,35304.74609375,35304.74609375,35304.74609375,35304.74609375,1561820,0.0,0.0
2007-03-27 00:00:00+07:00,33670.26581692099,33539.5078125,33539.5078125,33539.5078125,913743,0.0,0.0
2007-03-28 00:00:00+07:00,31905.02719827138,33539.5078125,33539.5078125,33539.5078125,1831287,0.0,0.0
2007-03-29 00:00:00+07:00,33539.51120754839,35173.98828125,35173.98828125,35173.98828125,1702866,0.0,0.0
2007-03-30 00:00:00+07:00,35827.779886830824,35370.125,35370.125,35370.125,1312653,0.0,0.0
2007-04-02 00:00:00+07:00,33997.16015625,33997.16015625,33997.16015625,33997.16015625,835380,0.0,0.0
2007-04-03 00:00:00+07:00,32689.583984375,32689.583984375,32689.583984375,32689.583984375,941748,0.0,0.0
2007-04-04 00:00:00+07:00,33604.8828125,33604.8828125,33604.8828125,33604.8828125,343882,0.0,0.0
2007-04-05 00:00:00+07:00,33670.265625,33670.265625,33670.265625,33670.265625,733074,0.0,0.0
2007-04-06 00:00:00+07:00,33343.37109375,33343.37109375,33343.37109375,33343.37109375,564162,0.0,0.0
